Anio,Mes,Alliance,region_norm,usuarios_activos,horas_totales,registros
2023,2,512,SANTIAGO,32,2675.4,281
2023,2,512,SANTO DOMINGO,203,15672.4,1624
2023,2,512,Sin ubicación,2021,152821.1,16616
2023,2,IQ Primaria,AZUA,2,0.6,4
2023,2,IQ Primaria,BAHORUCO,1,1.1,1
2023,2,IQ Primaria,BARAHONA,6,27.7,9
2023,2,IQ Primaria,COTUI,1,1.9,2
2023,2,IQ Primaria,HIGUEY,4,2.6,5
2023,2,IQ Primaria,LA VEGA,1,0.5,1
2023,2,IQ Primaria,MAO,6,18.3,9
2023,2,IQ Primaria,MONTE CRISTI,1,0.1,1
2023,2,IQ Primaria,NAGUA,12,51.1,28
2023,2,IQ Primaria,PUERTO PLATA,1,1.9,1
2023,2,IQ Primaria,SAN CRISTOBAL,3,6.1,4
2023,2,IQ Primaria,SAN JUAN DE LA MAGUANA,1,2.8,1
2023,2,IQ Primaria,SANTIAGO,7,26.3,8
2023,2,IQ Primaria,SANTO DOMINGO,31,133.7,48
2023,2,IQ Primaria,Sin ubicación,95,690.5,149
2023,2,IQ Secundaria,AZUA,14,168.8,30
2023,2,IQ Secundaria,BAHORUCO,1,0.3,1
2023,2,IQ Secundaria,BARAHONA,9,21.0,13
2023,2,IQ Secundaria,COTUI,16,49.6,20
2023,2,IQ Secundaria,HIGUEY,12,38.8,15
2023,2,IQ Secundaria,LA VEGA,97,199.7,126
2023,2,IQ Secundaria,MAO,65,137.8,94
2023,2,IQ Secundaria,MONTE CRISTI,52,538.0,120
2023,2,IQ Secundaria,MONTE PLATA,9,59.3,11
2023,2,IQ Secundaria,NAGUA,8,17.8,8
2023,2,IQ Secundaria,PUERTO PLATA,9,19.3,9
2023,2,IQ Secundaria,SAN CRISTOBAL,17,61.6,23
2023,2,IQ Secundaria,SAN FRANCISCO DE MACORIS,24,77.3,37
2023,2,IQ Secundaria,SAN JUAN DE LA MAGUANA,30,83.7,50
2023,2,IQ Secundaria,SAN PEDRO DE MACORIS,26,47.3,32
2023,2,IQ Secundaria,SANTIAGO,267,1007.4,423
2023,2,IQ Secundaria,SANTO DOMINGO,387,1726.9,566
2023,2,IQ Secundaria,Sin ubicación,251,796.5,361
2023,3,512,AZUA,38,3005.0,333
2023,3,512,BAHORUCO,20,1695.0,209
2023,3,512,BARAHONA,44,3911.2,435
2023,3,512,COTUI,37,3874.5,382
2023,3,512,HIGUEY,17,1145.3,113
2023,3,512,LA VEGA,54,4773.9,477
2023,3,512,MAO,11,1036.2,109
2023,3,512,MONTE CRISTI,15,1519.4,161
2023,3,512,MONTE PLATA,16,781.3,83
2023,3,512,NAGUA,19,1618.1,196
2023,3,512,PUERTO PLATA,16,1760.7,177
2023,3,512,SAN CRISTOBAL,50,4318.3,483
2023,3,512,SAN FRANCISCO DE MACORIS,25,1489.5,207
2023,3,512,SAN JUAN DE LA MAGUANA,22,1711.8,168
2023,3,512,SAN PEDRO DE MACORIS,24,2153.4,238
2023,3,512,SANTIAGO,39,3554.5,350
2023,3,512,SANTO DOMINGO,190,15327.8,1604
2023,3,512,Sin ubicación,2117,158853.9,17006
2023,3,IQ Primaria,AZUA,5,8.9,6
2023,3,IQ Primaria,BAHORUCO,6,8.6,6
2023,3,IQ Primaria,BARAHONA,1,0.1,1
2023,3,IQ Primaria,COTUI,2,17.6,4
2023,3,IQ Primaria,HIGUEY,6,37.4,6
2023,3,IQ Primaria,LA VEGA,13,68.9,17
2023,3,IQ Primaria,MAO,13,85.1,21
2023,3,IQ Primaria,MONTE CRISTI,2,6.2,3
2023,3,IQ Primaria,MONTE PLATA,2,11.6,3
2023,3,IQ Primaria,NAGUA,8,17.4,9
2023,3,IQ Primaria,PUERTO PLATA,44,113.5,83
2023,3,IQ Primaria,SAN CRISTOBAL,8,24.4,10
2023,3,IQ Primaria,SAN FRANCISCO DE MACORIS,6,4.8,6
2023,3,IQ Primaria,SAN JUAN DE LA MAGUANA,2,4.3,2
2023,3,IQ Primaria,SAN PEDRO DE MACORIS,3,11.4,5
2023,3,IQ Primaria,SANTIAGO,34,171.5,69
2023,3,IQ Primaria,SANTO DOMINGO,173,318.4,194
2023,3,IQ Primaria,Sin ubicación,196,966.6,266
2023,3,IQ Secundaria,AZUA,62,216.2,94
2023,3,IQ Secundaria,BAHORUCO,34,94.4,41
2023,3,IQ Secundaria,BARAHONA,53,105.7,59
2023,3,IQ Secundaria,COTUI,66,173.0,79
2023,3,IQ Secundaria,HIGUEY,84,333.9,127
2023,3,IQ Secundaria,LA VEGA,275,783.2,350
2023,3,IQ Secundaria,MAO,19,43.3,26
2023,3,IQ Secundaria,MONTE CRISTI,108,253.4,136
2023,3,IQ Secundaria,MONTE PLATA,55,102.4,60
2023,3,IQ Secundaria,NAGUA,17,73.8,23
2023,3,IQ Secundaria,PUERTO PLATA,91,271.4,104
2023,3,IQ Secundaria,SAN CRISTOBAL,100,345.9,130
2023,3,IQ Secundaria,SAN FRANCISCO DE MACORIS,90,258.5,111
2023,3,IQ Secundaria,SAN JUAN DE LA MAGUANA,39,149.5,56
2023,3,IQ Secundaria,SAN PEDRO DE MACORIS,76,273.0,107
2023,3,IQ Secundaria,SANTIAGO,346,1650.2,533
2023,3,IQ Secundaria,SANTO DOMINGO,1755,4576.2,2133
2023,3,IQ Secundaria,Sin ubicación,800,2598.8,1107
2023,4,512,AZUA,46,2498.7,298
2023,4,512,BAHORUCO,22,921.8,129
2023,4,512,BARAHONA,40,3500.1,377
2023,4,512,COTUI,38,2981.8,321
2023,4,512,HIGUEY,17,1202.4,107
2023,4,512,LA VEGA,55,2826.3,362
2023,4,512,MAO,14,784.8,101
2023,4,512,MONTE CRISTI,16,1129.7,139
2023,4,512,MONTE PLATA,18,1272.6,132
2023,4,512,NAGUA,20,1347.1,153
2023,4,512,PUERTO PLATA,17,1275.8,126
2023,4,512,SAN CRISTOBAL,50,2778.6,335
2023,4,512,SAN FRANCISCO DE MACORIS,25,1515.9,154
2023,4,512,SAN JUAN DE LA MAGUANA,22,1456.6,151
2023,4,512,SAN PEDRO DE MACORIS,26,1516.7,189
2023,4,512,SANTIAGO,39,2067.4,258
2023,4,512,SANTO DOMINGO,218,13135.9,1366
2023,4,512,Sin ubicación,2136,128203.7,14163
2023,4,IQ Primaria,AZUA,11,17.3,11
2023,4,IQ Primaria,BAHORUCO,6,35.9,7
2023,4,IQ Primaria,BARAHONA,37,117.5,51
2023,4,IQ Primaria,COTUI,12,51.6,19
2023,4,IQ Primaria,HIGUEY,110,928.9,306
2023,4,IQ Primaria,LA VEGA,34,122.5,51
2023,4,IQ Primaria,MAO,18,40.8,23
2023,4,IQ Primaria,MONTE CRISTI,34,217.6,52
2023,4,IQ Primaria,MONTE PLATA,12,11.5,13
2023,4,IQ Primaria,NAGUA,7,20.8,8
2023,4,IQ Primaria,PUERTO PLATA,178,519.3,300
2023,4,IQ Primaria,SAN CRISTOBAL,22,60.1,29
2023,4,IQ Primaria,SAN FRANCISCO DE MACORIS,15,80.1,18
2023,4,IQ Primaria,SAN JUAN DE LA MAGUANA,12,36.0,16
2023,4,IQ Primaria,SAN PEDRO DE MACORIS,22,93.5,32
2023,4,IQ Primaria,SANTIAGO,53,222.4,83
2023,4,IQ Primaria,SANTO DOMINGO,302,935.5,404
2023,4,IQ Primaria,Sin ubicación,474,1952.9,731
2023,4,IQ Secundaria,AZUA,194,654.3,332
2023,4,IQ Secundaria,BAHORUCO,70,140.0,101
2023,4,IQ Secundaria,BARAHONA,54,164.7,83
2023,4,IQ Secundaria,COTUI,179,952.7,307
2023,4,IQ Secundaria,HIGUEY,230,1277.4,471
