Anio,Semestre,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2023,S1,IQP,Docente,6to grado,SAN CRISTOBAL,5,10.6,6
2023,S1,IQP,Docente,6to grado,SAN FRANCISCO DE MACORIS,2,2.1,2
2023,S1,IQP,Docente,6to grado,SAN JUAN DE LA MAGUANA,2,2.6,4
2023,S1,IQP,Docente,6to grado,SANTIAGO,9,49.7,12
2023,S1,IQP,Docente,6to grado,SANTO DOMINGO,49,150.2,75
2023,S1,IQP,Docente,6to grado,Sin ubicación,60,226.2,86
2023,S1,IQP,Docente,No especificado,COTUI,2,1.3,2
2023,S1,IQP,Docente,No especificado,LA VEGA,4,6.9,4
2023,S1,IQP,Docente,No especificado,MAO,4,25.5,11
2023,S1,IQP,Docente,No especificado,NAGUA,3,3.8,3
2023,S1,IQP,Docente,No especificado,SAN CRISTOBAL,2,6.7,3
2023,S1,IQP,Docente,No especificado,SAN JUAN DE LA MAGUANA,1,0.9,1
2023,S1,IQP,Docente,No especificado,SAN PEDRO DE MACORIS,3,0.5,3
2023,S1,IQP,Docente,No especificado,SANTIAGO,5,4.5,9
2023,S1,IQP,Docente,No especificado,SANTO DOMINGO,16,36.6,20
2023,S1,IQP,Docente,No especificado,Sin ubicación,39,280.5,65
2023,S1,IQP,Estudiante,1er grado,BARAHONA,1,0.1,3
2023,S1,IQP,Estudiante,1er grado,COTUI,1,1.3,1
2023,S1,IQP,Estudiante,1er grado,HIGUEY,1,1.1,1
2023,S1,IQP,Estudiante,1er grado,LA VEGA,1,0.5,1
2023,S1,IQP,Estudiante,1er grado,SAN CRISTOBAL,2,1.0,2
2023,S1,IQP,Estudiante,1er grado,SAN JUAN DE LA MAGUANA,1,0.2,1
2023,S1,IQP,Estudiante,1er grado,SAN PEDRO DE MACORIS,2,2.3,2
2023,S1,IQP,Estudiante,1er grado,SANTIAGO,2,30.3,7
2023,S1,IQP,Estudiante,1er grado,SANTO DOMINGO,21,68.8,36
2023,S1,IQP,Estudiante,1er grado,Sin ubicación,25,336.4,102
2023,S1,IQP,Estudiante,2do grado,AZUA,1,0.1,2
2023,S1,IQP,Estudiante,2do grado,MONTE CRISTI,1,5.1,1
