Anio,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2023,IQP,Estudiante,2do grado,MONTE PLATA,23,55.6,26
2023,IQP,Estudiante,2do grado,NAGUA,17,31.0,23
2023,IQP,Estudiante,2do grado,PUERTO PLATA,8,42.0,16
2023,IQP,Estudiante,2do grado,SAN CRISTOBAL,127,307.3,179
2023,IQP,Estudiante,2do grado,SAN FRANCISCO DE MACORIS,27,66.2,31
2023,IQP,Estudiante,2do grado,SAN JUAN DE LA MAGUANA,26,44.4,26
2023,IQP,Estudiante,2do grado,SAN PEDRO DE MACORIS,193,468.2,219
2023,IQP,Estudiante,2do grado,SANTIAGO,145,179.9,177
2023,IQP,Estudiante,2do grado,SANTO DOMINGO,866,1711.0,966
2023,IQP,Estudiante,2do grado,Sin ubicación,726,1490.6,889
2023,IQP,Estudiante,3er grado,AZUA,5,38.7,13
2023,IQP,Estudiante,3er grado,BARAHONA,35,329.5,142
2023,IQP,Estudiante,3er grado,COTUI,2,4.3,3
2023,IQP,Estudiante,3er grado,HIGUEY,53,529.1,158
2023,IQP,Estudiante,3er grado,LA VEGA,8,88.5,25
2023,IQP,Estudiante,3er grado,MAO,7,9.0,9
2023,IQP,Estudiante,3er grado,MONTE CRISTI,8,84.7,18
2023,IQP,Estudiante,3er grado,MONTE PLATA,2,6.5,3
2023,IQP,Estudiante,3er grado,NAGUA,14,80.1,36
2023,IQP,Estudiante,3er grado,PUERTO PLATA,83,610.6,279
2023,IQP,Estudiante,3er grado,SAN CRISTOBAL,6,49.6,11
2023,IQP,Estudiante,3er grado,SAN FRANCISCO DE MACORIS,7,32.3,17
2023,IQP,Estudiante,3er grado,SAN JUAN DE LA MAGUANA,1,1.1,1
2023,IQP,Estudiante,3er grado,SAN PEDRO DE MACORIS,5,19.8,8
2023,IQP,Estudiante,3er grado,SANTIAGO,128,1398.4,408
2023,IQP,Estudiante,3er grado,SANTO DOMINGO,243,1859.4,552
2023,IQP,Estudiante,3er grado,Sin ubicación,267,1935.4,690
2023,IQP,Estudiante,4to grado,AZUA,8,52.5,17
2023,IQP,Estudiante,4to grado,BAHORUCO,1,0.4,1
2023,IQP,Estudiante,4to grado,BARAHONA,1,0.2,1
2023,IQP,Estudiante,4to grado,COTUI,5,10.4,5
2023,IQP,Estudiante,4to grado,HIGUEY,37,102.5,47
2023,IQP,Estudiante,4to grado,LA VEGA,6,13.7,7
2023,IQP,Estudiante,4to grado,MAO,3,6.8,11
