Anio,Mes,Programa,Rol,Grado,region_norm,usuarios_activos,horas_totales,registros
2022,9,IQP,Docente,6to grado,PUERTO PLATA,1,0.2,1
2022,9,IQP,Docente,6to grado,SAN CRISTOBAL,2,0.8,2
2022,9,IQP,Docente,6to grado,SAN PEDRO DE MACORIS,2,3.4,2
2022,9,IQP,Docente,6to grado,SANTO DOMINGO,5,2.2,5
2022,9,IQP,Docente,6to grado,Sin ubicación,3,7.2,4
2022,9,IQP,Estudiante,1er grado,BARAHONA,1,21.1,4
2022,9,IQP,Estudiante,1er grado,NAGUA,1,0.3,1
2022,9,IQP,Estudiante,1er grado,SAN CRISTOBAL,1,0.0,1
2022,9,IQP,Estudiante,1er grado,SAN JUAN DE LA MAGUANA,2,8.0,3
2022,9,IQP,Estudiante,1er grado,SANTO DOMINGO,3,8.8,8
2022,9,IQP,Estudiante,1er grado,Sin ubicación,3,10.2,5
2022,9,IQP,Estudiante,2do grado,AZUA,1,7.5,7
2022,9,IQP,Estudiante,2do grado,SAN JUAN DE LA MAGUANA,1,1.6,1
2022,9,IQP,Estudiante,2do grado,Sin ubicación,2,5.2,2
2022,9,IQP,Estudiante,3er grado,SANTO DOMINGO,2,1.0,3
2022,9,IQP,Estudiante,3er grado,Sin ubicación,5,18.1,10
2022,9,IQP,Estudiante,4to grado,SANTO DOMINGO,1,3.6,1
2022,9,IQP,Estudiante,4to grado,Sin ubicación,5,28.8,10
2022,9,IQP,Estudiante,5to grado,AZUA,1,7.1,6
2022,9,IQP,Estudiante,5to grado,Sin ubicación,2,3.9,2
2022,9,IQP,Estudiante,6to grado,BARAHONA,1,7.3,2
2022,9,IQP,Estudiante,6to grado,MONTE PLATA,1,0.1,1
2022,9,IQP,Estudiante,6to grado,PUERTO PLATA,1,0.0,1
2022,9,IQP,Estudiante,6to grado,SANTIAGO,1,5.8,3
2022,9,IQP,Estudiante,6to grado,SANTO DOMINGO,5,39.4,16
2022,9,IQP,Estudiante,6to grado,Sin ubicación,10,135.8,22
2022,9,IQP,Sin rol,No especificado,Sin ubicación,1,225.1,19
2022,9,IQS,Admin,No especificado,Sin ubicación,1,0.8,7
2022,9,IQS,Docente,1er grado,Sin ubicación,1,0.4,1
2022,9,IQS,Docente,3er grado,Sin ubicación,1,0.5,1
2022,9,IQS,Docente,4to grado,AZUA,1,0.4,1
2022,9,IQS,Docente,6to grado,AZUA,2,4.4,3
2022,9,IQS,Docente,6to grado,SAN FRANCISCO DE MACORIS,1,0.6,1
2022,9,IQS,Docente,6to grado,SANTO DOMINGO,5,23.6,8
